,Reviews,Sentiment,Clean_reviews
794,"The internet access was fine, it the rare instance that it worked.",0,internet access wa fine rare instance worked
795,Perfect for the PS3.,1,perfect p
796,"Five star Plus, plus.",1,five star plus plus
797,A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,1,good quality bargain bought bought cheapy big lot sounded awful people end hear
798,$50 Down the drain.,0,drain
799,I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,0,tried talking real loud shouting telephone get old wa still told great
800,"Good , works fine.",1,good work fine
801,For the price this was a great deal.,1,price wa great deal
802,"Great price, too!",1,great price
803,"If there is a wind, it is completely useless.",0,wind completely useless
804,Yes it's shiny on front side - and I love it!,1,yes shiny front side love
805,Does Not Work.,0,doe work
806,"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).",0,first thought wa grtting good deal plugged phone v c razr
807,The reception through this headset is excellent.,1,reception headset excellent
808,2 thumbs up to this seller,1,thumb seller
809,"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",1,verizon lg phone work well together good reception range exceeds foot line sight
810,Improper description.... I had to return it.,0,improper description return
811,#1 It Works - #2 It is Comfortable.,1,work comfortable
812,Battery charge-life is quite long.,1,battery charge life quite long
813,The Jabra EarGels fit my ears very well.,1,jabra eargels fit ear well
814,Battery has no life.,0,battery ha life
815,I checked everywhere and there is no feature for it which is really disappointing.,0,checked everywhere feature really disappointing
816,Product is exactly as described.,1,product exactly described
817,Gets a signal when other Verizon phones won't.,1,get signal verizon phone
818,Doesn't do the job.,0,job
819,I would recommend it.,1,would recommend
820,Plan on ordering from them again and again.,1,plan ordering
821,"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",1,said phone camera nice many cool effect play video decent well
822,I have been very satisfied with this cell phone from day one.,1,satisfied cell phone day one
823,They keep getting better and better (this is my third one and I've had numerous Palms too).,1,keep getting better better third one numerous palm
824,Awkward to use and unreliable.,0,awkward use unreliable
825,The shipping time was also very quick!,1,shipping time wa also quick
826,Not as good as I had hoped.,0,good hoped
827,Good case!.,1,good case
828,Doesn't Work.,0,work
829,Really good product.,1,really good product
830,Unfortunately it did not work.,0,unfortunately work
831,All three broke within two months of use.,0,three broke within two month use
832,dont buy it.,0,dont buy
833,"My father has the V265, and the battery is dying.",0,father ha v battery dying
834,"However, the ear pads come off easily and after only one week I lost one.",0,however ear pad come easily one week lost one
835,"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",0,call drop phone come screen go black worst stop ringing intermittently
836,"Horrible, horrible protector.",0,horrible horrible protector
837,I don't like this Nokia either.,0,like nokia either
838,"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",0,reaching bottom row uncomfortable send end key expect
839,I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,0,bought nokia cell phone week ago wa nightmare
840,It would take too long to describe how bad my customer service experience has been with Amazon.,0,would take long describe bad customer service experience ha amazon
841,the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,0,disappointing thing wa wa speakerphone
842,Terrible.. My car will not accept this cassette.,0,terrible car accept cassette
843,"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",0,product useless since doe enough charging current charge cellphone wa planning use
844,It's not what it says it is.,0,say
845,Stay Away From the Q!.,0,stay away q
846,Used and dirty.,0,used dirty
847,Very unreliable service from T-mobile !,0,unreliable service mobile
848,Not good enough for the price.,0,good enough price
849,I bought two of them and neither will charge.,0,bought two neither charge
850,It looks very nice.,1,look nice
851,"This is an excellent tool, especially when paired with your phone's auto-answer.",1,excellent tool especially paired phone auto answer
852,I have read other's reviews here but I haven't had any problem with it.,1,read review problem
853,These products cover up the important light sensor above the ear outlet.,0,product cover important light sensor ear outlet
854,Comfortable in my hand.,1,comfortable hand
855,Just does not work.,0,doe work
856,Poor Reliability.,0,poor reliability
857,(It works!),1,work
858,"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",0,take picture battery drop bar start beeping letting know dieing
859,"Terrible product, and waste of money!",0,terrible product waste money
860,Last time buying from you.,0,last time buying
861,It was a waste of my money.,0,wa waste money
862,So far it has worked like a charm.,1,far ha worked like charm
863,"I have only had it for a few weeks, but so far, so good.",1,week far good
864,"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",1,case best part download picture laptop using ir even send picture laptop phone
865,Would recommend this item.,1,would recommend item
866,It's been my choice headset for years.Great sound; good volume; good noise cancellation.,1,choice headset year great sound good volume good noise cancellation
867,"Nice case, feels good in your hands.",1,nice case feel good hand
868,The item received was Counterfeit.,0,item received wa counterfeit
869,"Just really good.. So far, probably the best BT headset I have ever had.",1,really good far probably best bt headset ever
870,Works fine.,1,work fine
871,I received my headset in good time and was happy with it.,1,received headset good time wa happy
872,I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,1,wa pleased see could replace well travled swivel holster blackberry flip
873,My sister has one also and she loves it.,1,sister ha one also love
874,Good Quality.,1,good quality
875,This is by far the worst purchase I've made on Amazon.,0,far worst purchase made amazon
876,Excellent dual-purpose headset.,1,excellent dual purpose headset
877,Excellent!.,1,excellent
878,Does not work for listening to music with the cingular 8125.,0,doe work listening music cingular
879,"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",1,seems completely secure holding belt keeping iphone inside
880,"The bottowm line...another worthless, cheap gimmick from Sprint.",0,bottowm line another worthless cheap gimmick sprint
881,Having trouble with volume.,0,trouble volume
882,The only good thing was that it fits comfortably on small ears.,1,good thing wa fit comfortably small ear
883,WARNING - DO NOT BUY!!.,0,warning buy
884,"I am pairing this with my iphone, and I could not be happier with it so far.",1,pairing iphone could happier far
885,"When it opens, the battery connection is broken and the device is turned off.",0,open battery connection broken device turned
886,"I didn't want the clip going over the top of my ear, causing discomfort.",0,want clip going top ear causing discomfort
887,Best headset ever!!!.,1,best headset ever
888,Don't trust their website and don't expect any helpful support.,0,trust website expect helpful support
889,It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,1,wa loud glad say plantronics maintains flawless connection cell static normal use
890,The speaker is of low quality so as making the ring tones sound very cheap.,0,speaker low quality making ring tone sound cheap
891,"Fits comfortably, came with three sizes of earbud tips.",1,fit comfortably came three size earbud tip
892,Excellent product for the price.,1,excellent product price
893,Bad Reception.,0,bad reception
894,This product is very High quality Chinese CRAP!!!!!!,0,product high quality chinese crap
895,It was quite comfortable in the ear.,1,wa quite comfortable ear
896,Great phone.,1,great phone
897,Don't buy this product - It fails!.,0,buy product fails
898,Everything about this product is wrong.First,0,everything product wrong first
899,The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,1,pairing two device wa easy barely took couple minute started making call voice dialing feature
900,"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",0,wa utterly confusing first caused lose couple important contact
901,Terrible phone holder.,0,terrible phone holder
902,The cutouts and buttons are placed perfectly.,1,cutout button placed perfectly
903,I love being able to use one headset for both by land-line and cell.,1,love able use one headset land line cell
904,Problem is that the ear loops are made of weak material and break easily.,0,problem ear loop made weak material break easily
905,Not nearly as good looking as the AMAZON picture makes it look.,0,nearly good looking amazon picture make look
906,"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",1,despite flaw case exceptional quality well worth additional cost owning official oem product
907,How stupid is that?,0,stupid
908,"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",1,hear driving car usually even put loudest setting
909,Seller shipped quickly and much cheaper than the competitors.,1,seller shipped quickly much cheaper competitor
910,"Good show, Samsung.",1,good show samsung
911,So I bought about 10 of these and saved alot of money.,1,bought saved alot money
912,It always cuts out and makes a beep beep beep sound then says signal failed.,0,always cut make beep beep beep sound say signal failed
913,Couldn't figure it out,0,figure
914,"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",0,phone sounded ok great ok wife phone wa almost totally unintelligible understand word said
915,So I had to take the battery out of the phone put it all back together and then restart it.,0,take battery phone put back together restart
916,"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",0,managed bend leaf spring back place metal ha enough stress break next drop
917,Leopard Print is wonderfully wild!.,1,leopard print wonderfully wild
918,Works for me.,1,work
919,"Saggy, floppy piece of junk.",0,saggy floppy piece junk
920,much better than the hard plastic cases.,1,much better hard plastic case
921,It also had a new problem.,0,also new problem
922,Happy so far!.,1,happy far
923,cool phone.,1,cool phone
924,Works good.,1,work good
925,Motorola finally got the voice quality of a bluetooth headset right.,1,motorola finally got voice quality bluetooth headset right
926,It looses connection to the phone even when it is within a couple feet between the two.,0,loos connection phone even within couple foot two
927,"but it is great, i would really recommend it",1,great would really recommend
928,Makes it easier to keep up with my bluetooth when I'm not wearing it.,0,make easier keep bluetooth wearing
929,As I said above....PRETTY USELESS!,0,said pretty useless
930,Never got it!!!!!,0,never got
931,This pair of headphones is the worst that I have ever had sound-wise.,0,pair headphone worst ever sound wise
932,[...] down the drain because of a weak snap!,0,drain weak snap
933,Does not charge the Cingular (ATT) 8525 phone.,0,doe charge cingular att phone
934,"You get extra minutes so that you can carry out the call and not get cut off.""",1,get extra minute carry call get cut
935,"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",0,however year fliptop started get loose wobbly eventually screen went black receive place call
936,I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,0,kept catching cable seat pull phone turn
937,The headset fulfills my requirements so I am happy with my purchase.,1,headset fulfills requirement happy purchase
938,Logitech Bluetooth Headset is a 10!.,1,logitech bluetooth headset
939,"I like the fact that it rests lightly against your ear, rather than inside.",1,like fact rest lightly ear rather inside
940,A lot of websites have been rating this a very good phone and so do I.,1,lot website rating good phone
941,I have tried these cables with my computer and my iPod and it works just fine.,1,tried cable computer ipod work fine
942,"The mic there is a joke, and the volume is quite low.",0,mic joke volume quite low
943,I'm returning them.,0,returning
944,I does not maintain a connection with the computer while it is on my lap.,0,doe maintain connection computer lap
945,It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,1,easy turn car volume control quite accessable
946,I have had mine for about a year and this Christmas I bought some for the rest of the family.,1,mine year christmas bought rest family
947,"Otherwise, easy to install and use, clear sound.",1,otherwise easy install use clear sound
948,nice leather.,1,nice leather
949,I had to purchase a different case.,0,purchase different case
950,It is a joy to use.,1,joy use
951,Very much disappointed with this company.,0,much disappointed company
952,Very satisifed with that.,1,satisifed
953,It didn't charge for me.,0,charge
954,This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,1,phone get bought say wow
955,Buttons are too small.,0,button small
956,Just reading on the specs alone makes you say WOW.,1,reading spec alone make say wow
957,Love it.. Great armband.,1,love great armband
958,I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,1,really like product motorola allot clearer ear piece mic
959,"However, the keypads are so tinny that I sometimes reach the wrong buttons.",0,however keypad tinny sometimes reach wrong button
960,I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,1,exchanged sony ericson z pretty happy decision
961,I was very impressed with the price of the cases.,1,wa impressed price case
962,Also makes it easier to hold on to.,1,also make easier hold
963,"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",1,use product motor control center lot high voltage humming equipment work great
964,It's pretty easy.,1,pretty easy
965,I cannot make calls at certain places.,0,make call certain place
966,"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",0,however girl wa complain time phone wake like normal phone doe
967,Beautiful styling though.,1,beautiful styling though
968,This company charge me a restocking fee and still not given me my refund back.,0,company charge restocking fee still given refund back
969,I'm trying to return it for a refund.,0,trying return refund
970,I plugged it in only to find out not a darn thing worked.,0,plugged find darn thing worked
971,Excellent product.,1,excellent product
972,Earbud piece breaks easily.,0,earbud piece break easily
973,Lousy product.,0,lousy product
974,This phone tries very hard to do everything but fails at it's very ability to be a phone.,0,phone try hard everything fails ability phone
975,It is the best charger I have seen on the market yet.,1,best charger seen market yet
976,SWEETEST PHONE!!!,1,sweetest phone
977,":-)Oh, the charger seems to work fine.",1,oh charger seems work fine
978,It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,1,fit securely ear hook doe even need used sound better directed ear canal
979,Not enough volume.,0,enough volume
980,Echo Problem....Very unsatisfactory,0,echo problem unsatisfactory
981,you could only take 2 videos at a time and the quality was very poor.,0,could take video time quality wa poor
982,don't waste your money.,0,waste money
983,I am going to have to be the first to negatively review this product.,0,going first negatively review product
984,Adapter does not provide enough charging current.,0,adapter doe provide enough charging current
985,"There was so much hype over this phone that I assumed it was the best, my mistake.",0,wa much hype phone assumed wa best mistake
986,You also cannot take pictures with it in the case because the lense is covered.,0,also take picture case lense covered
987,Phone falls out easily.,0,phone fall easily
988,"It didn't work, people can not hear me when I talk.",0,work people hear talk
989,The text messaging feature is really tricky to use.,0,text messaging feature really tricky use
990,I'm really disappointed all I have now is a charger that doesn't work.,0,really disappointed charger work
991,Painful on the ear.,0,painful ear
992,Lasted one day and then blew up.,0,lasted one day blew
993,disappointed.,0,disappointed
994,Kind of flops around.,0,kind flop around
995,The screen does get smudged easily because it touches your ear and face.,0,screen doe get smudged easily touch ear face
996,What a piece of junk.. I lose more calls on this phone.,0,piece junk lose call phone
997,Item Does Not Match Picture.,0,item doe match picture
998,The only thing that disappoint me is the infra red port (irda).,0,thing disappoint infra red port irda
999,"You can not answer calls with the unit, never worked once!",0,answer call unit never worked
